id	name	category	provided_by
GOLD:ga0209476	ga0209476	biolink:Attribute	GOLD
GOLD:ga0209477	ga0209477	biolink:Attribute	GOLD
GOLD:ga0268299	ga0268299	biolink:Attribute	GOLD
GOLD:gp0307471	gp0307471	biolink:Attribute	GOLD
GOLD:gs0128957	gs0128957	biolink:Attribute	GOLD
GOLD:netherlands_nijmegen_gelderland	netherlands_nijmegen_gelderland	biolink:NamedThing	GOLD
GOLD:ga0268298	ga0268298	biolink:Attribute	GOLD
GOLD:gp0307470	gp0307470	biolink:Attribute	GOLD
GOLD:ga0168092	ga0168092	biolink:Attribute	GOLD
GOLD:gp0192480	gp0192480	biolink:Attribute	GOLD
GOLD:gs0127417	gs0127417	biolink:Attribute	GOLD
GOLD:sweden	sweden	biolink:NamedThing	GOLD
GOLD:ga0239302	ga0239302	biolink:Attribute	GOLD
GOLD:gp0275462	gp0275462	biolink:Attribute	GOLD
GOLD:gs0132982	gs0132982	biolink:Attribute	GOLD
GOLD:denmark_aalberg	denmark_aalberg	biolink:NamedThing	GOLD
GOLD:ga0119873	ga0119873	biolink:Attribute	GOLD
GOLD:gp0137215	gp0137215	biolink:Attribute	GOLD
GOLD:gs0118580	gs0118580	biolink:Attribute	GOLD
GOLD:ga0070420	ga0070420	biolink:Attribute	GOLD
GOLD:gp0090770	gp0090770	biolink:Attribute	GOLD
GOLD:metagenome_-_cell_enrichment	metagenome_-_cell_enrichment	biolink:Attribute	GOLD
GOLD:ga0214090	ga0214090	biolink:Attribute	GOLD
GOLD:gp0238881	gp0238881	biolink:Attribute	GOLD
GOLD:gs0130338	gs0130338	biolink:Attribute	GOLD
GOLD:durham_ontario_canada	durham_ontario_canada	biolink:NamedThing	GOLD
GOLD:bioreactor	bioreactor	biolink:Attribute	GOLD
GOLD:aerobic	aerobic	biolink:Attribute	GOLD
GOLD:food_waste	food_waste	biolink:Attribute	GOLD
GOLD:ga0214258	ga0214258	biolink:Attribute	GOLD
GOLD:gp0242115	gp0242115	biolink:Attribute	GOLD
GOLD:university_of_toronto_toronto_ontario_canada	university_of_toronto_toronto_ontario_canada	biolink:NamedThing	GOLD
GOLD:ga0227319	ga0227319	biolink:Attribute	GOLD
GOLD:ga0226661	ga0226661	biolink:Attribute	GOLD
GOLD:ga0255813	ga0255813	biolink:Attribute	GOLD
GOLD:ga0256703	ga0256703	biolink:Attribute	GOLD
GOLD:ga0256702	ga0256702	biolink:Attribute	GOLD
GOLD:ga0116232	ga0116232	biolink:Attribute	GOLD
GOLD:gp0138709	gp0138709	biolink:Attribute	GOLD
GOLD:metatranscriptome_analysis	metatranscriptome_analysis	biolink:Attribute	GOLD
GOLD:gs0118679	gs0118679	biolink:Attribute	GOLD
GOLD:usa_washington	usa_washington	biolink:NamedThing	GOLD
GOLD:metatranscriptome	metatranscriptome	biolink:Attribute	GOLD
GOLD:marine_sponge	marine_sponge	biolink:Attribute	GOLD
GOLD:ga0064067	ga0064067	biolink:Attribute	GOLD
GOLD:gp0109960	gp0109960	biolink:Attribute	GOLD
GOLD:gs0114039	gs0114039	biolink:Attribute	GOLD
GOLD:nova_europa_brazil	nova_europa_brazil	biolink:NamedThing	GOLD
GOLD:environmental	environmental	biolink:Attribute	GOLD
GOLD:terrestrial	terrestrial	biolink:Attribute	GOLD
GOLD:agricultural_field	agricultural_field	biolink:Attribute	GOLD
GOLD:filter_cake_produced_in_cane_sugar_milling_plant	filter_cake_produced_in_cane_sugar_milling_plant	biolink:Attribute	GOLD
GOLD:ga0136170	ga0136170	biolink:Attribute	GOLD
GOLD:gp0154067	gp0154067	biolink:Attribute	GOLD
GOLD:gs0117937	gs0117937	biolink:Attribute	GOLD
GOLD:belgium	belgium	biolink:NamedThing	GOLD
GOLD:phyllosphere	phyllosphere	biolink:Attribute	GOLD
GOLD:ga0026314	ga0026314	biolink:Attribute	GOLD
GOLD:gp0051763	gp0051763	biolink:Attribute	GOLD
GOLD:gs0046201	gs0046201	biolink:Attribute	GOLD
GOLD:lawrence_berkeley_national_laboratory_california_usa	lawrence_berkeley_national_laboratory_california_usa	biolink:NamedThing	GOLD
GOLD:anaerobic	anaerobic	biolink:Attribute	GOLD
GOLD:in_progress	in_progress	biolink:Attribute	GOLD
GOLD:ga0026249	ga0026249	biolink:Attribute	GOLD
GOLD:gp0052329	gp0052329	biolink:Attribute	GOLD
GOLD:ga0025131	ga0025131	biolink:Attribute	GOLD
GOLD:gp0052372	gp0052372	biolink:Attribute	GOLD
GOLD:ga0025132	ga0025132	biolink:Attribute	GOLD
GOLD:ga0011569	ga0011569	biolink:Attribute	GOLD
GOLD:gp0054631	gp0054631	biolink:Attribute	GOLD
GOLD:gs0074283	gs0074283	biolink:Attribute	GOLD
GOLD:soeholt_denmark	soeholt_denmark	biolink:NamedThing	GOLD
GOLD:anaerobic_digester	anaerobic_digester	biolink:Attribute	GOLD
GOLD:ga0011582	ga0011582	biolink:Attribute	GOLD
GOLD:gp0054630	gp0054630	biolink:Attribute	GOLD
GOLD:ga0012398	ga0012398	biolink:Attribute	GOLD
GOLD:gp0055637	gp0055637	biolink:Attribute	GOLD
GOLD:ga0002192	ga0002192	biolink:Attribute	GOLD
GOLD:ga0004147	ga0004147	biolink:Attribute	GOLD
GOLD:gp0057198	gp0057198	biolink:Attribute	GOLD
GOLD:ga0070399	ga0070399	biolink:Attribute	GOLD
GOLD:ga0065701	ga0065701	biolink:Attribute	GOLD
GOLD:ga0123327	ga0123327	biolink:Attribute	GOLD
GOLD:gp0141802	gp0141802	biolink:Attribute	GOLD
GOLD:washington_usa	washington_usa	biolink:NamedThing	GOLD
GOLD:anaerobic_biogas_reactor	anaerobic_biogas_reactor	biolink:Attribute	GOLD
GOLD:ga0123331	ga0123331	biolink:Attribute	GOLD
GOLD:gp0141806	gp0141806	biolink:Attribute	GOLD
GOLD:ga0123326	ga0123326	biolink:Attribute	GOLD
GOLD:gp0141801	gp0141801	biolink:Attribute	GOLD
GOLD:ga0123330	ga0123330	biolink:Attribute	GOLD
GOLD:gp0141805	gp0141805	biolink:Attribute	GOLD
GOLD:ga0123329	ga0123329	biolink:Attribute	GOLD
GOLD:gp0141804	gp0141804	biolink:Attribute	GOLD
GOLD:ga0123328	ga0123328	biolink:Attribute	GOLD
GOLD:gp0141803	gp0141803	biolink:Attribute	GOLD
GOLD:ga0123334	ga0123334	biolink:Attribute	GOLD
GOLD:gp0141809	gp0141809	biolink:Attribute	GOLD
GOLD:ga0123335	ga0123335	biolink:Attribute	GOLD
GOLD:gp0141810	gp0141810	biolink:Attribute	GOLD
GOLD:ga0123332	ga0123332	biolink:Attribute	GOLD
GOLD:gp0141807	gp0141807	biolink:Attribute	GOLD
GOLD:ga0123333	ga0123333	biolink:Attribute	GOLD
GOLD:gp0141808	gp0141808	biolink:Attribute	GOLD
GOLD:ga0133925	ga0133925	biolink:Attribute	GOLD
GOLD:gp0147050	gp0147050	biolink:Attribute	GOLD
GOLD:gs0120356	gs0120356	biolink:Attribute	GOLD
GOLD:hong_kong	hong_kong	biolink:NamedThing	GOLD
GOLD:anaerobic_reactor	anaerobic_reactor	biolink:Attribute	GOLD
GOLD:ga0160425	ga0160425	biolink:Attribute	GOLD
GOLD:gp0191377	gp0191377	biolink:Attribute	GOLD
GOLD:usa_berkeley_california	usa_berkeley_california	biolink:NamedThing	GOLD
GOLD:ga0163159	ga0163159	biolink:Attribute	GOLD
GOLD:gp0191376	gp0191376	biolink:Attribute	GOLD
GOLD:ga0183100	ga0183100	biolink:Attribute	GOLD
GOLD:ga0183101	ga0183101	biolink:Attribute	GOLD
GOLD:ga0183096	ga0183096	biolink:Attribute	GOLD
GOLD:ga0183099	ga0183099	biolink:Attribute	GOLD
GOLD:ga0183098	ga0183098	biolink:Attribute	GOLD
GOLD:ga0214071	ga0214071	biolink:Attribute	GOLD
GOLD:gp0238866	gp0238866	biolink:Attribute	GOLD
GOLD:anaerobic_digester_digestate	anaerobic_digester_digestate	biolink:Attribute	GOLD
GOLD:ga0214086	ga0214086	biolink:Attribute	GOLD
GOLD:gp0238878	gp0238878	biolink:Attribute	GOLD
GOLD:toronto_ontario_canada	toronto_ontario_canada	biolink:NamedThing	GOLD
GOLD:ga0214088	ga0214088	biolink:Attribute	GOLD
GOLD:gp0238879	gp0238879	biolink:Attribute	GOLD
GOLD:granular_sludge	granular_sludge	biolink:Attribute	GOLD
GOLD:ga0214277	ga0214277	biolink:Attribute	GOLD
GOLD:gp0242119	gp0242119	biolink:Attribute	GOLD
GOLD:ga0226655	ga0226655	biolink:Attribute	GOLD
GOLD:ga0226659	ga0226659	biolink:Attribute	GOLD
GOLD:ga0226835	ga0226835	biolink:Attribute	GOLD
GOLD:gp0264961	gp0264961	biolink:Attribute	GOLD
GOLD:gs0132838	gs0132838	biolink:Attribute	GOLD
GOLD:usa_california	usa_california	biolink:NamedThing	GOLD
GOLD:anaerobic_bioreactor_biomass	anaerobic_bioreactor_biomass	biolink:Attribute	GOLD
GOLD:ga0226657	ga0226657	biolink:Attribute	GOLD
GOLD:ga0227318	ga0227318	biolink:Attribute	GOLD
GOLD:ga0214927	ga0214927	biolink:Attribute	GOLD
GOLD:gp0242131	gp0242131	biolink:Attribute	GOLD
GOLD:gs0131242	gs0131242	biolink:Attribute	GOLD
GOLD:usa_wisconsin	usa_wisconsin	biolink:NamedThing	GOLD
GOLD:xylose_enrichment_biomass	xylose_enrichment_biomass	biolink:Attribute	GOLD
GOLD:ga0214925	ga0214925	biolink:Attribute	GOLD
GOLD:gp0242130	gp0242130	biolink:Attribute	GOLD
GOLD:ga0214929	ga0214929	biolink:Attribute	GOLD
GOLD:gp0242132	gp0242132	biolink:Attribute	GOLD
GOLD:ga0214872	ga0214872	biolink:Attribute	GOLD
GOLD:gp0242133	gp0242133	biolink:Attribute	GOLD
GOLD:ga0255812	ga0255812	biolink:Attribute	GOLD
GOLD:ga0255811	ga0255811	biolink:Attribute	GOLD
GOLD:ga0209509	ga0209509	biolink:Attribute	GOLD
GOLD:ga0209312	ga0209312	biolink:Attribute	GOLD
GOLD:ga0209313	ga0209313	biolink:Attribute	GOLD
GOLD:ga0209612	ga0209612	biolink:Attribute	GOLD
GOLD:ga0209722	ga0209722	biolink:Attribute	GOLD
GOLD:ga0209613	ga0209613	biolink:Attribute	GOLD
GOLD:ga0209510	ga0209510	biolink:Attribute	GOLD
GOLD:ga0209723	ga0209723	biolink:Attribute	GOLD
GOLD:ga0268263	ga0268263	biolink:Attribute	GOLD
GOLD:ga0311022	ga0311022	biolink:Attribute	GOLD
GOLD:ga0334893	ga0334893	biolink:Attribute	GOLD
GOLD:gp0356209	gp0356209	biolink:Attribute	GOLD
GOLD:gs0136119	gs0136119	biolink:Attribute	GOLD
GOLD:netherlands_wageningen_gelderland	netherlands_wageningen_gelderland	biolink:NamedThing	GOLD
GOLD:sludge	sludge	biolink:Attribute	GOLD
GOLD:ga0334901	ga0334901	biolink:Attribute	GOLD
GOLD:gp0356217	gp0356217	biolink:Attribute	GOLD
GOLD:ga0334899	ga0334899	biolink:Attribute	GOLD
GOLD:gp0356215	gp0356215	biolink:Attribute	GOLD
GOLD:ga0334894	ga0334894	biolink:Attribute	GOLD
GOLD:gp0356210	gp0356210	biolink:Attribute	GOLD
GOLD:ga0334892	ga0334892	biolink:Attribute	GOLD
GOLD:gp0356208	gp0356208	biolink:Attribute	GOLD
GOLD:ga0334900	ga0334900	biolink:Attribute	GOLD
GOLD:gp0356216	gp0356216	biolink:Attribute	GOLD
GOLD:ga0334898	ga0334898	biolink:Attribute	GOLD
GOLD:gp0356214	gp0356214	biolink:Attribute	GOLD
GOLD:ga0334887	ga0334887	biolink:Attribute	GOLD
GOLD:gp0356203	gp0356203	biolink:Attribute	GOLD
GOLD:ga0334884	ga0334884	biolink:Attribute	GOLD
GOLD:gp0356200	gp0356200	biolink:Attribute	GOLD
GOLD:ga0334895	ga0334895	biolink:Attribute	GOLD
GOLD:gp0356211	gp0356211	biolink:Attribute	GOLD
GOLD:ga0334888	ga0334888	biolink:Attribute	GOLD
GOLD:gp0356204	gp0356204	biolink:Attribute	GOLD
GOLD:ga0334889	ga0334889	biolink:Attribute	GOLD
GOLD:gp0356205	gp0356205	biolink:Attribute	GOLD
GOLD:ga0334882	ga0334882	biolink:Attribute	GOLD
GOLD:gp0356198	gp0356198	biolink:Attribute	GOLD
GOLD:ga0334890	ga0334890	biolink:Attribute	GOLD
GOLD:gp0356206	gp0356206	biolink:Attribute	GOLD
GOLD:ga0334886	ga0334886	biolink:Attribute	GOLD
GOLD:gp0356202	gp0356202	biolink:Attribute	GOLD
GOLD:ga0334883	ga0334883	biolink:Attribute	GOLD
